trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.01, 'e': 0.8860339595928756}",30,0,-146.25197132901377,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.8851483685026271}",30,0,-192.45414282975312,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
123,False,"{'a': 0.01, 'e': 0.8842636625608209}",30,0,-133.4727902906285,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
124,False,"{'a': 0.01, 'e': 0.8833798408827509}",20,0,-102.8080452871744,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.8824969025845955}",25,0,-176.48808512137526,"{0: 15, 1: 0, 2: 4, 3: 4, 4: 2}",0
126,False,"{'a': 0.01, 'e': 0.8816148467834161}",25,0,-104.67079187644391,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",1
127,False,"{'a': 0.01, 'e': 0.880733672597157}",25,0,-51.994279489582425,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.8798533791446438}",20,0,-162.72224570934745,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
129,False,"{'a': 0.01, 'e': 0.8789739655455832}",20,0,-162.0001102756215,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
130,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-36.93994552643993,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.8772177743910435}",20,0,-115.20698647856418,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.8763409950793732}",25,0,-78.89046322371273,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.8754650921087711}",20,0,-53.96060841927403,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.874590064603334}",20,0,-63.31301998277758,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.8737159116880344}",20,0,-157.47260365820333,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
136,False,"{'a': 0.01, 'e': 0.8728426324887193}",20,0,-27.785098428599973,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.8719702261321094}",25,0,-100.28040543519361,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.8710986917457983}",20,0,-34.89633712249986,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.8702280284582515}",30,0,-181.3705374277947,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
140,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-83.10585416726191,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.8684893116976679}",25,0,-115.07486605076919,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.867621256485914}",25,5,-71.77859625552863,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.8667540688954889}",20,0,-111.62742403380615,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
144,False,"{'a': 0.01, 'e': 0.865887748059205}",25,0,-49.47081310932585,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.01, 'e': 0.8650222931107413}",25,0,-62.69071569569553,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.8641577031846428}",30,0,-146.77940769759076,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
147,False,"{'a': 0.01, 'e': 0.8632939774163194}",25,0,-127.27171022196899,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
148,False,"{'a': 0.01, 'e': 0.8624311149420455}",25,0,-97.47395217060773,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.8615691148989583}",25,0,-95.03496726342863,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-110.93839002098451,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
151,False,"{'a': 0.01, 'e': 0.8598476986592055}",20,0,-94.45995250561928,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.8589882807411234}",20,13,-0.27215453705611514,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.8581297218113938}",20,0,-111.82371000373462,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
154,False,"{'a': 0.01, 'e': 0.8572720210114575}",20,0,-19.346232473990977,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.8564151774836135}",20,9,-55.33754397453722,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.8555591903710185}",25,0,-78.0370840535012,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.8547040588176851}",25,0,-144.84762191123974,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
158,False,"{'a': 0.01, 'e': 0.8538497819684817}",20,0,-85.54375862714967,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
159,False,"{'a': 0.01, 'e': 0.8529963589691315}",25,0,-85.29896456356006,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
160,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-76.17859864181142,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
161,False,"{'a': 0.01, 'e': 0.8512920711071511}",20,0,-100.3066700553109,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.01, 'e': 0.850441204540233}",20,0,-68.34968583597413,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.8495911884145902}",30,4,-113.2374294113644,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 2}",1
164,False,"{'a': 0.01, 'e': 0.8487420218802068}",20,0,-72.96743642957256,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.8478937040879159}",20,5,-72.59700621538643,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
166,False,"{'a': 0.01, 'e': 0.8470462341893996}",30,3,-70.91119683446772,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
